"Category","ProductName","Reviewer","Date","Title","Comment","StarRating","VerifiedPurchase"
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","ESTRIANA","Reviewed in Mexico on November 15, 2024","5.0 out of 5 stars","",4,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Jesús J.","Reviewed in Mexico on November 14, 2024","","Muy buenos tenis",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Buena calidad en el audio de llamadas, está muy bien.","Reviewed in Mexico on October 1, 2024","Very comfortable","",4,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Rogelio","Reviewed in Mexico on September 30, 2024","5.0 out of 5 stars","Están muy cómodos, y a buen precioMe encantaron",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Luis gerardo Arroyo ramirez","Reviewed in the United States on September 24, 2024","","",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Cliente de Kindle","Reviewed in the United States on October 1, 2024","Great","Fueron un regalo, de muy buena calidad y cumplieron todas las expectativas.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Bryan","Reviewed in the United States on November 15, 2024","5.0 out of 5 stars","",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Nandriti Tagore","Reviewed in the United States on November 29, 2024","","Me encantaron, no pesan y mis pies están cómodos durante mi rutina de ejercicio.",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Nandriti Tagore","Reviewed in the United States on November 6, 2024","Very Comfortable","",5,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","Renee GS","Reviewed in the United States on September 16, 2024","5.0 out of 5 stars","I recently got my hands on the Under Armour Men’s Charged Surge 4 Sneakers, and they have quickly become my go-to shoes for both running and everyday wear. These sneakers are a perfect blend of comfort, support, and style.The breathable mesh upper with synthetic overlays provides excellent structure and support, keeping my feet cool and comfortable even during long runs. The enhanced cushioning around the ankle collar is a game-changer, offering superior comfort and preventing any irritation.One of the standout features is the Deluxe Comfort System sockliner, which molds to my foot for ultimate step-in comfort. The Charged Cushioning® midsole delivers fantastic responsiveness and durability, making each step feel light and energized. Plus, the durable rubber outsole provides great traction and flexibility, ensuring a smooth and stable run.Overall, the Under Armour Charged Surge 4 Sneakers are a fantastic investment for anyone looking for reliable, comfortable, and stylish running shoes. They have exceeded my expectations in every way, and I highly recommend them to fellow runners and fitness enthusiasts!",4,NA
"Shoes","Under Armour Men's Charged Surge 4 Sneaker","John Lohmeyer","Reviewed in the United States on November 22, 2024","","This the best sneakers that I ever find. It's soft, has jel effects under the feet. Very comfortable to wear to walk. Must buy. Love the color. It support the feet, fits well. Wear them more than 10hrs so the traction is very smooth. I believe the durability is very good.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","JPerrine","Reviewed in the United States on December 1, 2024","5.0 out of 5 stars","High quality, reasonable price. Fit as they should. Well  padded and needed no break in. Comfort and style.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Garik Mkrtichian","Reviewed in the United States on November 20, 2024","","I purchased UA Charged Assert 9 tripple black version a few years ago. still have them. very comfortable and enduring shoes. Based on that experience i went for this new ones,  UA Charged Assert 10, and as always, it's pretty amazing pair of running shoes, and of course you can wear them for every day walk. Excellent comfort. always right size. fits pefectly. I will buy the next model too, whenever they release it. the Assert 11 😊Thank you Under Armour 👍🏻",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Liz C","Reviewed in the United States on December 3, 2024","Basic quality running shoes.","These are soooo comfortable, true to size, lightweight, and are great for working out. And my back pain is gone!!!",5,NA
"Shoes","Under Armour Men's Charged Assert 10","dk","Reviewed in the United States on November 19, 2024","5.0 out of 5 stars","These x-wides are truly wide for those of us who struggle to find them. Very comfortable step. -1 because the heal doesn’t fit perfectly, a little high on my ankle, but I’d still buy them again.",4,NA
"Shoes","Under Armour Men's Charged Assert 10","Angelo","Reviewed in the United States on November 20, 2024","","",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Angelo","Reviewed in the United States on November 17, 2024","Just excellent quality/price","The media could not be loaded.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Sam","Reviewed in the United States on November 3, 2024","5.0 out of 5 stars","If your looking for comfort, affordable and durability not to mention stylish then this is the shoe for you. This is my 2nd pair, I also bought charge 9 which is the all black shoe that's all beat up from the picture. That is also very good but it started to get holes on the front and side. I bought patches for it but since it's my daily shoe, it's wearing out and time to get a new one. So get it now! Trust me you won't be disappointed",5,NA
"Shoes","Under Armour Men's Charged Assert 10","The Amado's","Reviewed in the United States on November 10, 2024","","I love under armour shoes and those are really good. They are very comfortable, the color is exactly as showed and the size is the correct. They are light and looks resistant. I'm really happy with them!",5,NA
"Shoes","Under Armour Men's Charged Assert 10","The Amado's","Reviewed in Mexico on December 4, 2024","No more back pain!","LOVE these!I just have 2 complaints. 1. The color is off, the picture shows black, but when I received them they're grey. And 2. These sneakers were a return, they did not come in a box, just a plastic bag. Which is fine, but the bottom of the shoes were definitely worn inside. No attempt to clean them off and rid of the dirt.Otherwise these sneakers are super comfortable! I love them. I will always buy UA sneakers, they are the best quality sneakers I have ever found.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","AM","Reviewed in Mexico on December 3, 2024","4.0 out of 5 stars","Decent pair of sneakers. Nice color and very comfortable. My brother loves it. Sizes are accurate.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","AM","Reviewed in Mexico on November 27, 2024","","Son de muy buena calidad, sin embargo vienen reducidos en la talla que indican, al menos medio número. Así que tómenlo en cuenta por si van a pedir que sea media talla",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Pedro Montes Cruz","Reviewed in Canada on November 16, 2024","Good for x-wide","",3,NA
"Shoes","Under Armour Men's Charged Assert 10","MARIO A.","Reviewed in Mexico on November 11, 2024","5.0 out of 5 stars","buen producto, un poco de peso mas al acostumbrado para trotar o correr",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Diana Santana","Reviewed in the United States on December 1, 2024","","",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Jeremy","Reviewed in the United States on November 20, 2024","My 2nd pair of charge 10","Lo más relevante es la comodidad, los pudiera comparar con los adidas falcon que también encontré muy muy cómodos, son muy ligeros, buena calidad y fácil de limpiar, los volvería a comprar definitivamente.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","My mal, la talla no es la deseada pedi la XL y a un asi esta muy pequeña normalmente soy M o L, ya no vuelvo a comprar estos productos chinos","Reviewed in the United States on December 3, 2024","5.0 out of 5 stars","",5,NA
"Shoes","Under Armour Men's Charged Assert 10","JPerrine","Reviewed in the United States on November 19, 2024","","It's an excellent product..worth buyingI bought it for my man...and it really comforts his feet. It's lightweight, good quality, perfect fit.",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Garik Mkrtichian","Reviewed in the United States on November 20, 2024","Very comfortable","Huele muy bien",5,NA
"Shoes","Under Armour Men's Charged Assert 10","Liz C","Reviewed in the United States on November 17, 2024","5.0 out of 5 stars","",5,NA
"Shoes","Under Armour Men's Charged Assert 10","dk","Reviewed in the United States on November 3, 2024","","High quality, reasonable price. Fit as they should. Well  padded and needed no break in. Comfort and style.",4,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","LGC","Reviewed in the United States on August 14, 2024","5.0 out of 5 stars","Rather than my husband always wearing sneakers with chinos or jeans I came across these Bruno Marc’s.The appearance, reviews and number of buyers is what persuaded me to buy the them over the other brands.He tried them on today but hasn’t worn them so this review is a first impression. I may come back in late September to let you know if there were any negatives about the wear.The shoe out of the box is impressive. Lightweight casual dress. The material of the upper shoe has some type of elastacine (sp) that gives it some stretch/give when you walk. They are breathable which is important to him.I’m not sure if they will stretch overtime but if they do, a tightening of the shoe strings should provide more support.The inner soul is removable for anyone who wears orthotics. My husband does, but after trying them on with and without, he said the foot bed is comfortable enough he may not need the orthopedics for times that he won’t be doing much walking.The shoe laces are a tightly woven fabric over elastic and they hold firmly when tied. The shoe soul is rubberized material, is lightweight and provides for a comfortable sneaker like feel.He buys sizes 8 but his true size is 7.5. He said his toes still have about 1/2” to the end of the shoe and the toe box is very roomy. He likes that because some shoes squeeze his forefoot. No pain in these.We purchased the navy and the color is beautiful.I tried them on and I would be very comfortable wearing them.At this point, we have to give them a 5 star rating. Even though we can’t speak to the performance at this time, we believe they are a good value for the price and construction . This is a good looking shoe.",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","HB","Reviewed in the United States on December 1, 2024","","These sneakers are great. I bought them for a trade show and put 40k steps on them over three days, right out of the box. They are light, breathe well, and comfortable. Fit true to size and look great. For the price, you can’t beat them.",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Amazon Customer","Reviewed in the United States on September 22, 2024","Lightweight Casual Dress Shoes","I have yet to wear these out, but from initial trials they seem comfortable and have plenty of toe room, and even though not a ""wide"" size, they accommodate my orthotic and don't bind in areas where I'm developing age-related foot issues.  They are more stylish than a normal athletic shoe while having the comfort of one. A couple drawbacks I'll learn to live with: This style, in a longer size, really exaggerates how long they look on the foot. It would help if they had some vertical details/stitching along the upper part to break that long plane from laces to toe. I am a woman who must often go to men's shoes to get the length I need, and while many styles are interchangeable with a woman's version; this one, because of that long stretch of uninterrupted fabric does make me self-conscious about how big my foot looks. The other issue for me is the bright white sole. It is difficult to find a comfortable shoe with a coordinating sole color. The white looks OK on this and keeps them from becoming too oxford-like, but I fear the white will soon be stained by the elements. I bought these to look a little more dressy with dress slacks, and since I can no longer wear leather uppers, these will be fine, and the length should seem less dramatic once there's a pant's cuff. breaking up the total length.  I purchased these for the reasonable price on a shoe I won't wear often. I think they will prove to be exactly what I need: a more dressy looking shoe with the comfort of a sneaker.",4,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Richard W. Vetterli","Reviewed in the United States on September 9, 2024","5.0 out of 5 stars","These have to be about the most comfortable shoes I have ever owned.  Just returned from a two-week Europe trip with LOTS of walking.  These shoes are light and airy.  Great support and looked great for the entire trip. I have very wide feet and these fit great. One disclaimer however, I did replace the stock insoles with some Dr. Scholls walking insoles.  The original insoles were great, but I wanted to add just a little more support before testing them out for two-weeks in Europe.  I also brought a pair of NB walking shoes on the trip but never wore them as these were so much lighter and more comfortable.  When I got home, I immediately ordered another pair in a different color.  Five stars",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Angela Sullivan","Reviewed in the United States on October 27, 2024","","These shoes were my companions on a two-week Spanish holiday through all the major cities and sites. They handled incredibly well on wet cobblestone surfaces and long days of walking and hiking . Super comfortable, well built, lightweight, and kept my feet airy and dry.  I spot cleaned the shoes with a sponge every night and they came out like new.  An incredible value!",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Angela Sullivan","Reviewed in the United States on November 18, 2024","Very comfortable, great value","Holding up after a couple days at least. Comfortable and lightweight. They look nice enough to garner compliments. Will update if they fall apart within a couple of months.",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Ben","Reviewed in the United States on December 5, 2024","4.0 out of 5 stars","Ideal for informal work. Great quality.",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Paz","Reviewed in the United States on December 4, 2024","","I like these shoes; they are stylish and somewhat comfortable. I can wear them daily to work. Obviously, they are not for workout or jogging - they quickly get uncomfortable. Quality of the shoes is good too. I haven't noticed any issue so far, since the purchase about 4 months ago.",5,NA
"Shoes","Bruno Marc Men's KnitFlex Breeze Mesh Sneakers Oxfords Lace-Up Lightweight Casual Walking Shoes","Dr Rajani Rupesh Kakade","Reviewed in Canada on November 4, 2024","Exceptionally soft fabric that doesn't bind","Looks good, easy to slip on, comfortable, great price.",5,NA
